"";"input_id";"dependence";"dependence_value";"question";"subframework";"property";"category";"pages";"minimal_detailed";"bestpractices";"notes";"keywords";"options";"input_type";"required"
"44";"F13";NA;NA;"Have you employed a versioning system to track and control changes in your materials?";"fair";"Versioning";"Co-creation";"2. Implementation";"detailed";"The information about versions should be clear in the details of the resource. Keeping a historical track using version numbers and dates of publishing helps others understand how the resource has changed and improved over time. Adding release notes with details for each version is even better.";"The versioning system should be able to provide historical tracking of the resource changes. For an example, the use of versions of the same record deposited in Zenodo.";"Reusable";"Yes;No";"mc";FALSE
"45";"G04";NA;NA;"Does the resource include the date it was published and/or the date of the latest version?";"essential";"Versioning";"Co-creation";"2. Implementation";"minimal";"Following the ""Version Date"" element of the Research Data Alliance (RDA) Minimal Metadata for Learning Resources Schema, include the date the material was published and/or the date of the most recent version of the resource.";"In addition to adding this information to the metadata, it should also be visible to learners in the course overview.";NA;"Yes;No";"mc";FALSE
"46";"G16";NA;NA;"Does each content or instructional unit end with an activity/assignment that allows for learner feedback?";"essential";"Activities";"Assessment";"3. Evaluation";"detailed";"Is learner performance assessed? Do the learning materials include activities or quizzes?";NA;NA;"Yes;No";"mc";FALSE
"47";"M05";"G16";"Yes";"Do the activities and assignments of the resource help the stated target audience to learn any of the essential skills and competences identified in the <a href=""https://zenodo.org/records/15731870"" target=""_blank"">MVS profile</a>?";"mvs";"Activities";"Assessment";"3. Evaluation";"detailed";"Check the section “Essential Skills & Competences"" in the respective MVS profile for your target audience.";NA;NA;"Yes;No";"mc";FALSE
"48";"G17";NA;NA;"Is the grading policy communicated in a way that clearly defines expectations for the course and its assignments?";"essential";"Grading";"Assessment";"3. Evaluation";"detailed";"Is there some form of assessment for learners? Are the criteria on which the assessment is based described in a clear and understandable way? For example, these criteria may be linked to learning objectives and outcomes.";NA;NA;"Yes;No";"mc";FALSE
"49";"G18";NA;NA;"Does the course offer some kind of certification (badge or micro-credentials)?";"essential";"Course certification";"Assessment";"3. Evaluation";"detailed";"Is there any type of certification information you can provide (such as open badges or micro-credentials)? What does it take to get that certification?";NA;NA;"Yes;No";"mc";FALSE
"50";"F09";NA;NA;"Does the available learning resource include the possibility to provide feedback or comments from learners that can be used for improvement?";"fair";"Feedback";"Guidance";"3. Evaluation";"detailed";"Getting feedback and enabling the users to share their thoughts regarding the learning resource is valuable input for continuous improvement aiming at increasing the resource  quality.";NA;"Reusable";"Yes;No";"mc";FALSE
"51";"F11";NA;NA;"Is rating available for the learning resource?";"fair";"Rating";"Guidance";"3. Evaluation";"detailed";"Keeping track of information such as user or trainer ratings, how many people joined, how many times it was downloaded, and how many certificates were given, are all helpful indicators when gauging the quality of the resource.";"Rating can be implemented as a standalone feature (for an example, using stars to rate the content), or it can be a question in the feedback form that asks for a quantitative answer.";"Reusable";"Yes;No";"mc";FALSE
"52";"F17";NA;NA;"Has the learning resource been evaluated by a third party regarding its learning experience quality?";"fair";"Learning experience quality";"Guidance";"3. Evaluation";"detailed";"Implementing an external quality assessment procedure helps remove any bias from the process. It is a chance to receive feedback from a fresh view of the learning resource provided by someone who is seeing it for the first time.";"Someone who has not been part of the development process checks the resource and provides feedback.";"Reusable";"Yes;No";"mc";FALSE
"53";"E03";NA;NA;"Does the resource identify who is its intellectual property (IP) rights holder?";"elsi";"Intellectual Property Rights (IPR)";"Intellectual Property Rights (IPR)";"4. Licensing & Ethics";"minimal";"It is not enough to simply state the applicable licence - the resource also needs to identify who holds intellectual property rights to the resource. For example: 'Unless otherwise stated, these materials are shared under a CC-BY 4.0 licence. All rights are with the respective authors.'";"In addition to informing about the applicable licence, the resource should also indicate who holds the IP rights (e.g. by including the phrase 'all rights are with the respective authors').";NA;"Yes;No";"mc";FALSE
"54";"E05";NA;NA;"Is the resource published under a standard licence (e.g. one of the Creative Commons licences) with no modifications?";"elsi";"Intellectual Property Rights (IPR)";"Intellectual Property Rights (IPR)";"4. Licensing & Ethics";"minimal";"Licensing information should be clear and in line with recognized standards, making it easier for users to understand and comply with the terms of use for the learning resource. It is strongly recommended to use open licences.";"Standard licences, such as Creative Commons licences, make it easier for others to understand how they can legally use, share, and adapt the resource without needing complex negotiations or legal advice. If a standard licence (e.g. CC-BY) has been modified, it can no longer use its standardised designation.";NA;"Yes;No";"mc";FALSE
"55";"E06";NA;NA;"Is licence for the resource easily accessible, e.g. via a link from the landing page?";"elsi";"Intellectual Property Rights (IPR)";"Intellectual Property Rights (IPR)";"4. Licensing & Ethics";"detailed";"Where possible, the licence or usage policy for the material should be made easily accessible, such as by hyperlinking to the terms of the licence.";"The licence of the resource should be easy to access. Even if a standard licence is used (e.g. CC-BY), that information should contain a link to the terms of the licence.";NA;"Yes;No";"mc";FALSE
"56";"E07";NA;NA;"Is the licence of the resource versioned?";"elsi";"Intellectual Property Rights (IPR)";"Intellectual Property Rights (IPR)";"4. Licensing & Ethics";"detailed";"Versioning licences improves transparency and traceability of requirements at various points of time.";"If you are using a standard licence, it may come with its own version number (e.g. CC-BY 4.0). However, if you are using your own licence, it is important to keep track of its updates by also assigning them version numbers.";NA;"Yes;No";"mc";FALSE
"57";"E01";NA;NA;"Does the resource (or platform) provide or refer to (i) a Terms of Service (ToS) document, and (ii) a privacy policy?";"elsi";"ToS and personal data";"Terms of Service and Personal Data";"4. Licensing & Ethics";"minimal";"Both the the Terms of Service (ToS) and the privacy policy (data policy) of the learning resource or the platform must be included or linked. It is also recommended to keep track of different versions by assigning version numbers (v1, v2, etc.).";"The two documents have different roles but both must be present or linked. ToS explain the rules for using the resource and might include limits or rules for how it can be used. The privacy policy (or data policy) informs the resource user about how their data is being processed. If the resource is contained within a platform and covered by its ToS and its privacy policy, it is enough that the platform provides the relevant links (e.g. in the footer).";NA;"Yes;No";"mc";FALSE
"58";"E02";"E01";"Yes";"Are both the Terms of Service and the privacy policy visible irrespective of registration / login?";"elsi";"ToS and personal data";"Terms of Service and Personal Data";"4. Licensing & Ethics";"minimal";"If users are required to register with the service, both the privacy policy and the ToS document must be made available prior to registration and/or login.";"Both (i) the Terms of Service and (ii) the privacy policy (data policy) must be available and visible, also if the user is not yet registered/logged in.If the resource is contained within a platform and covered by its ToS and its privacy policy, the same applies to the relevant links provided by the platform.";NA;"Yes;No";"mc";FALSE
